resp_id,wfh,age,income_100k_plus,service_worker
2475,Often,23,FALSE,TRUE
2477,Often,35,TRUE,FALSE
2478,Unable,30,FALSE,FALSE
2479,Unable,51,TRUE,FALSE
2481,Unable,33,FALSE,FALSE
2483,Often,50,TRUE,FALSE
2484,Unable,61,FALSE,TRUE
2485,Unable,62,TRUE,TRUE
2487,Always,74,TRUE,FALSE
2488,Always,54,TRUE,TRUE
2490,Unable,26,FALSE,FALSE
2492,Unable,37,FALSE,TRUE
2493,Often,32,FALSE,FALSE
2495,Unable,68,FALSE,FALSE
2496,Often,36,TRUE,FALSE
2497,Often,49,FALSE,FALSE
2498,Unable,29,FALSE,TRUE
2499,Often,62,FALSE,FALSE
2501,Unable,34,FALSE,FALSE
2507,Always,33,FALSE,FALSE
2509,Unable,42,FALSE,TRUE
2512,Unable,19,FALSE,TRUE
2513,Unable,31,FALSE,FALSE
2516,Unable,32,FALSE,FALSE
2520,Unable,82,FALSE,FALSE
2521,Always,63,FALSE,TRUE
2523,Unable,35,TRUE,TRUE
2524,Unable,61,FALSE,TRUE
2526,Rarely,28,TRUE,FALSE
2529,Often,35,FALSE,TRUE
2531,Often,43,FALSE,FALSE
2532,Unable,50,FALSE,TRUE
2534,Unable,58,FALSE,FALSE
2536,Often,40,FALSE,TRUE
2540,Unable,70,FALSE,FALSE
2541,Unable,57,TRUE,TRUE
2542,Often,50,FALSE,FALSE
2543,Often,23,FALSE,FALSE
2545,Often,37,TRUE,FALSE
2548,Unable,34,FALSE,FALSE
2549,Unable,21,FALSE,TRUE
2550,Always,65,TRUE,FALSE
2551,Unable,61,FALSE,TRUE
2554,Unable,33,FALSE,TRUE
2559,Often,32,TRUE,FALSE
2561,Unable,34,FALSE,TRUE
2562,Unable,67,TRUE,FALSE
2563,Unable,65,FALSE,FALSE
2568,Unable,41,FALSE,TRUE
2570,Unable,26,FALSE,TRUE
2572,Unable,75,FALSE,FALSE
2574,Often,19,FALSE,TRUE
2578,Unable,40,FALSE,TRUE
2580,Always,49,FALSE,FALSE
2582,Often,35,FALSE,FALSE
2583,Unable,32,FALSE,FALSE
2584,Unable,21,FALSE,FALSE
2585,Often,35,TRUE,FALSE
2586,Unable,24,FALSE,FALSE
2587,Unable,67,FALSE,TRUE
2588,Unable,35,TRUE,FALSE
2590,Always,39,FALSE,FALSE
2594,Often,50,FALSE,TRUE
2595,Rarely,56,FALSE,TRUE
2598,Unable,20,TRUE,TRUE
2601,Unable,45,FALSE,TRUE
2602,Rarely,30,TRUE,FALSE
