id,carpool,cars_per_driver,hhsize,commute,social
149803,FALSE,1,2,FALSE,FALSE
177113,TRUE,1,2,FALSE,FALSE
460048,TRUE,1,4,FALSE,FALSE
502931,FALSE,1.5,2,FALSE,FALSE
684265,FALSE,1,2,TRUE,FALSE
256929,FALSE,1,4,TRUE,FALSE
199612,TRUE,1,2,FALSE,FALSE
684475,FALSE,1,2,FALSE,FALSE
164804,FALSE,0.5,2,FALSE,FALSE
443592,TRUE,1,2,FALSE,FALSE
377132,FALSE,1,1,FALSE,FALSE
20790,FALSE,1,2,FALSE,FALSE
758559,FALSE,1,2,FALSE,TRUE
425276,FALSE,1,5,TRUE,FALSE
299010,FALSE,1,2,TRUE,FALSE
356820,TRUE,1,2,FALSE,FALSE
580287,FALSE,1.5,2,FALSE,FALSE
431381,FALSE,1.5,2,FALSE,FALSE
695483,TRUE,0.6666666666666666,3,FALSE,FALSE
302406,TRUE,2,4,FALSE,FALSE
22469,FALSE,1.5,2,FALSE,FALSE
579112,TRUE,1,3,FALSE,FALSE
506308,FALSE,1.5,2,FALSE,FALSE
45947,TRUE,1.5,2,FALSE,FALSE
508654,TRUE,1,2,FALSE,FALSE
613954,FALSE,1,1,FALSE,FALSE
769782,TRUE,0.6666666666666666,3,FALSE,FALSE
210405,TRUE,2,2,FALSE,FALSE
708873,TRUE,1,2,FALSE,FALSE
43572,TRUE,1,2,FALSE,FALSE
449276,TRUE,1.5,5,FALSE,FALSE
229561,TRUE,1,3,FALSE,FALSE
517065,FALSE,1,3,FALSE,FALSE
714234,TRUE,1,1,FALSE,FALSE
66616,FALSE,1.25,4,TRUE,FALSE
739967,FALSE,1,3,FALSE,FALSE
373611,TRUE,1,5,FALSE,FALSE
742836,TRUE,1.3333333333333333,3,FALSE,FALSE
322889,FALSE,1,3,FALSE,FALSE
651736,TRUE,0.5,2,TRUE,FALSE
196059,TRUE,1.5,2,FALSE,FALSE
593298,FALSE,1,1,FALSE,FALSE
709446,FALSE,1,1,FALSE,FALSE
385168,FALSE,1.5,2,FALSE,FALSE
471864,TRUE,0.75,4,FALSE,FALSE
169295,TRUE,1,2,FALSE,FALSE
24412,FALSE,1,1,FALSE,FALSE
648963,TRUE,1,2,FALSE,FALSE
580032,FALSE,1.5,2,FALSE,FALSE
318977,TRUE,2.5,4,FALSE,TRUE
675085,FALSE,1.3333333333333333,4,TRUE,FALSE
192954,FALSE,1.5,2,TRUE,FALSE
124569,TRUE,0.5,3,FALSE,FALSE
624065,TRUE,0.5,2,FALSE,FALSE
98143,FALSE,2,2,TRUE,FALSE
583434,TRUE,1,2,FALSE,FALSE
222868,TRUE,0.6666666666666666,3,FALSE,FALSE
346053,FALSE,0.5,5,FALSE,FALSE
303676,FALSE,1,2,FALSE,FALSE
714454,FALSE,1,3,TRUE,FALSE
233484,FALSE,1,2,FALSE,FALSE
23139,FALSE,1,3,FALSE,FALSE
12862,FALSE,2,1,FALSE,FALSE
42385,TRUE,3,1,TRUE,FALSE
662655,FALSE,1,2,FALSE,FALSE
644114,TRUE,0.5,2,FALSE,FALSE
646239,FALSE,1,2,FALSE,FALSE
110093,FALSE,1,1,FALSE,FALSE
558214,FALSE,0.5,2,FALSE,TRUE
296323,TRUE,1,5,FALSE,FALSE
328752,FALSE,1,2,FALSE,FALSE
3231,TRUE,0.5,3,FALSE,FALSE
374474,FALSE,1,3,FALSE,FALSE
680885,TRUE,1,3,FALSE,FALSE
625671,TRUE,1,3,FALSE,FALSE
68982,FALSE,2,1,FALSE,FALSE
178916,TRUE,1.5,2,FALSE,FALSE
410781,FALSE,1,2,FALSE,TRUE
653327,TRUE,2,2,FALSE,FALSE
159053,TRUE,1.5,2,FALSE,FALSE
674500,FALSE,1,2,FALSE,FALSE
729271,FALSE,1,2,FALSE,FALSE
561049,TRUE,1,3,FALSE,FALSE
160017,TRUE,2,1,FALSE,TRUE
184343,TRUE,3,2,FALSE,FALSE
115678,FALSE,1.5,5,FALSE,FALSE
130516,FALSE,1,1,FALSE,FALSE
72385,FALSE,1,2,TRUE,FALSE
753598,FALSE,1,2,FALSE,TRUE
780364,FALSE,1,3,FALSE,FALSE
296440,FALSE,1,1,FALSE,FALSE
285959,TRUE,1,4,FALSE,FALSE
184928,FALSE,1,3,TRUE,FALSE
593011,TRUE,1,5,FALSE,FALSE
753984,FALSE,1,3,FALSE,FALSE
771279,FALSE,1,1,FALSE,FALSE
9161,FALSE,2,2,TRUE,FALSE
392857,TRUE,2,1,TRUE,FALSE
690268,FALSE,1.5,2,FALSE,FALSE
48823,TRUE,0.6666666666666666,5,FALSE,FALSE
465450,FALSE,2,1,FALSE,FALSE
612495,FALSE,1,2,FALSE,FALSE
204,TRUE,0.5,3,FALSE,FALSE
524413,FALSE,1,2,TRUE,FALSE
604671,TRUE,2,1,FALSE,FALSE
257240,FALSE,1.5,2,TRUE,FALSE
461083,FALSE,1,2,TRUE,FALSE
661614,TRUE,1.5,5,FALSE,TRUE
57112,TRUE,1,2,FALSE,FALSE
714366,TRUE,2,4,FALSE,FALSE
156103,TRUE,1.5,7,FALSE,FALSE
427456,FALSE,1.5,2,TRUE,FALSE
141095,TRUE,1,4,FALSE,FALSE
89360,FALSE,1,3,FALSE,FALSE
480098,FALSE,1.5,2,TRUE,FALSE
272233,TRUE,1,7,FALSE,FALSE
697314,FALSE,1,1,FALSE,FALSE
311285,FALSE,1,1,TRUE,FALSE
